app_name,avg_review_score
Abduction Bit,1.0
Threads of Destiny,1.0
The Purge Day,1.0
Chicken Invaders 3,1.0
Tiltagon,1.0
Legena: Union Tides,1.0
CLANNAD Side Stories,1.0
Rescue Team 1,1.0
Mazement,1.0
Lew Pulsipher's Doomstar,1.0
Soft Body,1.0
Grandpa's Table,1.0
Box Out!,1.0
Binaries,1.0
Realms of Arkania: Star Trail,1.0
Cursed West,1.0
Higurashi When They Cry Hou - Ch.3 Tatarigoroshi,1.0
TRIZEAL Remix,1.0
WOLFLAME,1.0
Second Death,1.0
Samurai of Hyuga Book 2,1.0
LUMEN,1.0
Lucky Rabbit Reflex!,1.0
Genius Greedy Mouse,1.0
Diamond Joyce and the Secrets of Crystal Cave,1.0
Rescuties! VR,1.0
Roses and Gems,1.0
ASTROKILL,1.0
Goscurry,1.0
BoX -containment-,1.0
Trouble Witches Origin - Episode1 Daughters of Amalgam -,1.0
PD Howler 10,1.0
Clean'Em Up,1.0
Reverse x Reverse,1.0
PING 1.5+,1.0
Recourse,1.0
Archibald's Adventures,1.0
Kung Fury: Street Rage,1.0
Astervoid 2000,1.0
Paint it Back,1.0
Snakes on an Extradimensional Plane,1.0
Creeper World Anniversary Edition,1.0
Shoot 1UP,1.0
Elems,1.0
Wandering Willows,1.0
Blades of the Righteous,1.0
Flat Heroes,1.0
"Drones, The Human Condition",1.0
Trigonarium,1.0
Quip Anomaly,1.0
Everyday Genius: SquareLogic,1.0
Jockey Rush,1.0
Murasaki,1.0
Cubway,1.0
UBERMOSH Vol.3,1.0
YamaYama,1.0
Cubotrox,1.0
Master of Orion 1,1.0
Keep Talking and Nobody Explodes,1.0
SculptrVR,1.0
Redirection,1.0
Space Scaven,1.0
Color Assembler,1.0
Marine Park Empire,1.0
K Station,1.0
DJ Streamer,1.0
Dark Train,1.0
Cyber Sentinel,1.0
The Makeshifter,1.0
Birth of Shadows,1.0
Systematic Immunity,1.0
Robo's World: The Zarnok Fortress,1.0
Worldy Cup,1.0
The Tale of Doris and the Dragon - Episode 1,1.0
The House in Fata Morgana,1.0
Professor Teaches® PowerPoint 2013 & 365,1.0
Guardian's Oath,1.0
Nancy Drew: Tomb of the Lost Queen,1.0
Cooking Dash,1.0
Creeper World 2 Anniversary Edition,1.0
Spectrubes,1.0
Age of Empires® III (2007),1.0
Wish Project,1.0
Speech Trainer,1.0
Worlds of Chaos: Invasion,1.0
Discovering Colors - Animals,1.0
Bazaar,1.0
Slap The Fly,1.0
Cubikolor,1.0
Plankton,1.0
A Magical High School Girl,1.0
Dungeoncraft,1.0
RPG Maker 2000,1.0
Lost Lands: Dark Overlord,1.0
The Shape Of Heart,1.0
Pixel: ru²,1.0
A Day in the Woods,1.0
Aveyond 3-3: The Lost Orb,1.0
T-Kara Puzzles,1.0
Gulf of Aden - Task Force Somalia,1.0
Toys of War,1.0
Ahnayro: The Dream World,1.0
Dark Parables: Curse of Briar Rose Collector's Edition,1.0
PF and the Molten Mystery,1.0
Weather Lord: Following the Princess Collector's Edition,1.0
3DF Zephyr Lite Steam Edition,1.0
GTGD S3 How To Make A Game,1.0
The Last Time,1.0
Pixelscape: Oceans,1.0
Mini's Magic World,1.0
New York Mysteries: The Lantern of Souls,1.0
Spacejacked,1.0
The Tale of a Common Man,1.0
Beeswing,1.0
Cards of Cthulhu,1.0
Zolg,1.0
Lost Lands: The Four Horsemen,1.0
Raptor Valley,1.0
DELTAZEAL,1.0
Blue Rider,1.0
Lumines: Advanced Pack,1.0
Umihara Kawase,1.0
Lost Socks: Naughty Brothers,1.0
Bombslinger,1.0
Killing Floor - Toy Master,1.0
Blockpocalypse,1.0
One day in London,1.0
Super Snow Fight,1.0
Decisive Campaigns: Case Blue,1.0
Wanderer of Teandria,1.0
Alien Blitz,1.0
Mishap 2: An Intentional Haunting,1.0
Milford Heaven - Luken's Chronicles,1.0
Nevertales: The Beauty Within Collector's Edition,1.0
Farm Frenzy Pizza Party,1.0
Witch & Hero（魔女と勇者）,1.0
Red Comrades 2: For the Great Justice. Reloaded,1.0
Baseball Mogul Diamond,1.0
Golden Krone Hotel,1.0
Best in Show Solitaire,1.0
Super Slam Dunk Touchdown,1.0
Dots eXtreme,1.0
Crystal Towers 2,1.0
Strong Bad Episode 2: Strong Badia the Free,1.0
SkyBoats,1.0
CasinoXR,1.0
Scarab Tales,1.0
Sam & Max 203: Night of the Raving Dead,1.0
Egg Time,1.0
Rescue Love Revenge,1.0
Quell Reflect,1.0
The Inner Sea,1.0
Word Wonders: The Tower of Babel,1.0
The Ultimate DOOM,1.0
ZeGame,1.0
Soulcaster: Part I & II,1.0
HELP: THE GAME,1.0
One Small Fire At A Time,1.0
Impossiball,1.0
Dark Parables: Rise of the Snow Queen Collector's Edition,1.0
WE ARE DOOMED,1.0
Space Ribbon,1.0
Satellite Rush,1.0
