app_name,review_count
,135155
Terraria,78276
PAYDAY 2,63577
Dota 2,50190
Undertale,48512
Warframe,44970
Rocket League,39035
Left 4 Dead 2,35406
Grand Theft Auto V,30213
Arma 3,29854
BioShock Infinite,29770
The Witcher 3: Wild Hunt,28392
Portal 2,28296
Insurgency,24870
Call of Duty: Black Ops III,22747
Fallout: New Vegas,22747
Tomb Raider,22690
DARK SOULS™: Prepare To Die Edition,21983
Garry's Mod,21542
Killing Floor,20989
PlanetSide 2,19907
The Binding of Isaac,19653
Mount & Blade: Warband,19456
No Man's Sky,19223
XCOM: Enemy Unknown,18890
Trove,18183
Goat Simulator,18070
FTL: Faster Than Light,18029
Middle-earth™: Shadow of Mordor™,17900
Dishonored,17653
Dirty Bomb,17483
The Binding of Isaac: Rebirth,17265
Emily is Away,16674
Saints Row IV,16280
Counter-Strike: Source,16239
Path of Exile,15933
Borderlands 2,15773
No More Room in Hell,15548
DOOM,15359
Total War: ROME II - Emperor Edition,15300
DARK SOULS™ III,15284
Portal,15131
Batman™: Arkham Knight,15084
Chivalry: Medieval Warfare,14941
Euro Truck Simulator 2,14847
Bastion,14282
Dead by Daylight,13933
Hotline Miami,13912
Grand Theft Auto IV: The Complete Edition,13618
Clicker Heroes,13576
To the Moon,13520
Cities: Skylines,13468
Firewatch,13428
Brothers - A Tale of Two Sons,13284
AdVenture Capitalist,12962
Tom Clancy's The Division,12628
Crusader Kings II,12588
Tom Clancy's Rainbow Six Siege,12455
Geometry Dash,12304
Evolve Stage 2,11918
Don't Starve,11762
Team Fortress 2,11510
ORION: Prelude,11185
Outlast,11177
Far Cry® 3,11156
METAL GEAR SOLID V: THE PHANTOM PAIN,11133
Castle Crashers,11085
Age of Empires II (2013),11072
Super Hexagon,10874
BattleBlock Theater,10729
Fallout 3 - Game of the Year Edition,10639
Total War: WARHAMMER,10590
Dying Light,10501
Counter-Strike,10462
Transistor,10059
Just Cause 2,10049
Realm of the Mad God Exalt,9977
Elite Dangerous,9933
PAYDAY: The Heist,9754
Banished,9672
Game Dev Tycoon,9475
The Walking Dead: Season Two,9456
APB Reloaded,9449
Sid Meier's Civilization: Beyond Earth,9443
Fistful of Frags,9350
Call of Duty: World at War,9064
The Plan,9030
Wolfenstein: The New Order,8998
Torchlight II,8978
BioShock,8826
Kerbal Space Program,8694
Total War: SHOGUN 2,8671
State of Decay,8602
Sid Meier's Civilization V,8487
This War of Mine,8409
"Papers, Please",8384
Gone Home,8361
Spec Ops: The Line,8358
Warface,8314
Company of Heroes 2,8264
Five Nights at Freddy's,8195
XCOM 2,8158
Mad Max,8097
Cry of Fear,7993
Alien: Isolation,7962
Watch_Dogs,7945
Starbound,7937
Call of Duty: Black Ops II,7773
LIMBO,7709
Mortal Kombat X,7665
Super Meat Boy,7661
Stellaris,7586
Max Payne 3,7536
POSTAL 2,7526
One Finger Death Punch,7510
Half-Life,7471
The Wolf Among Us,7437
Rising Storm/Red Orchestra 2 Multiplayer,7414
Sid Meier's Civilization VI,7320
Sleeping Dogs™,7307
Counter-Strike Nexon: Studio,7223
Borderlands GOTY,7179
Awesomenauts,7172
theHunter Classic,7100
Magic Duels,7004
Amnesia: The Dark Descent,7000
War Thunder,6899
Infestation: Survivor Stories 2020,6890
Hitman: Absolution,6794
Bad Rats,6765
The Elder Scrolls Online,6762
Mark of the Ninja,6657
Batman: Arkham Asylum GOTY Edition,6644
Source Filmmaker,6607
Rogue Legacy,6498
Borderlands: The Pre-Sequel,6480
Blacklight: Retribution,6443
DARK SOULS™ II: Scholar of the First Sin,6394
The Elder Scrolls IV: Oblivion,6246
DRAGON BALL XENOVERSE,6238
Guns of Icarus Online,6233
Prison Architect,6228
Call of Duty: Ghosts,6208
Total War: EMPIRE - Definitive Edition,6181
Skullgirls 2nd Encore,6159
Dungeon Defenders,6144
Alien Swarm,6116
Half-Life 2,6053
Verdun,6028
Planetary Annihilation,5976
Dust: An Elysian Tail,5954
Magicka,5878
Assassin's Creed IV Black Flag,5876
The Beginner's Guide,5847
FINAL FANTASY VII,5782
Fallout 4,5668
Batman™: Arkham Origins,5649
Dino D-Day,5609
Surgeon Simulator,5598
Thomas Was Alone,5574
Call of Duty: Modern Warfare 2,5560
Deus Ex: Mankind Divided™,5536
Dragon Age: Origins - Ultimate Edition,5521
Depth,5497
Mirror's Edge,5471
Warhammer: End Times - Vermintide,5459
Antichamber,5433
Far Cry® 3 Blood Dragon,5390
Total War: ATTILA,5364
Tales from the Borderlands,5307
Risk of Rain,5299
Arma 2: Operation Arrowhead,5277
Rise of the Tomb Raider,5251
Dishonored 2,5192
American Truck Simulator,5177
Nether,5131
Pillars of Eternity,5122
The Witcher: Enhanced Edition,5098
Sniper Elite V2,5093
Call of Duty: Modern Warfare 3,4977
Call of Juarez Gunslinger,4972
A.V.A. Alliance of Valiant Arms™,4958
